title,subj_terms,participant(s),reg_num,reg_date,t_type,conclusion_date,volume
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,22/02/1997,Open Multilateral,22/02/1997,1964
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,27/04/1998,Open Multilateral,27/04/1998,2013
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,24/08/1993,Open Multilateral,24/08/1993,1731
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,15/11/1992,Open Multilateral,15/11/1992,1695
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,22/11/1990,Open Multilateral,22/11/1990,1583
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,29/07/1988,Open Multilateral,29/07/1988,1510
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,05/10/1987,Open Multilateral,05/10/1987,1483
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,01/04/1987,Open Multilateral,01/04/1987,1458
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,26/11/1984,Open Multilateral,26/11/1984,1380
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,11/08/1981,Open Multilateral,11/08/1981,1247
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,04/01/1979,Open Multilateral,04/01/1979,1122
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,11/07/1974,Open Multilateral,11/07/1974,943
Amendements to Regulation No. 13. Uniform provisions concerning the approval of vehicles of ...,"Motor vehicles
",,A-4789,29/08/1973,Open Multilateral,29/03/1973,887
Amendements au Règlement No 1.  Prescriptions uniformes relatives à l'homologation des projecteurs pour ...,"Motor vehicles
",,A-4789,16/06/1995,Open Multilateral,16/06/1995,1870
